"id","name","pub_year","tempo","signature_key","signature_time","author_ids","lit_ids","service_ids","member_ids","season_ids"
"SO000002","Alleluia",1997,"150","C","6/8",,"L05",,,
"SO000004","Alleluia",1990,"120","C","4/4",,"L05",,,
"SO000005","Amazing Grace, My Chains are Gone",2006,,"F","4/4",,,,,
"SO000008","Forever",2001,"112 to 118",,"4/4",,"L03",,,
"SO000012","Give Thanks",,,,,,"L03",,,
"SO000009","I Am Free",2004,,"D","4/4",,,,,
"SO000015","Lord, Let Your Servant",,,,,,"L03",,,
"SO000010","Love The Lord",2005,,"G","4/4",,,,,
"SO000007","More Light",,,,,,"L05",,,
"SO000003","Nothing But The Blood Of Jesus",1997,,"E","4/4",,"L01",,,
"SO000013","Sanctuary",,,,,,"L01",,,
"SO000011","Thanks Be To God",,,,,,"L03",,,
"SO000014","Thy Word",,,,,,"L05",,,
"SO000001","You Are So Good To Me",2001,,"C","4/4",,"L01,L04",,,
"SO000006","Your Grace Is Sufficient For Me",,,,,,"L01,L02",,,
"SO000016",,,,,,,,,,
"SO000017",,,,,,,,,,
"SO000018",,,,,,,,,,
"SO000019",,,,,,,,,,
"SO000020",,,,,,,,,,
"SO000021",,,,,,,,,,
"SO000022",,,,,,,,,,
"SO000023",,,,,,,,,,
"SO000024",,,,,,,,,,
"SO000025",,,,,,,,,,
"SO000026",,,,,,,,,,
"SO000027",,,,,,,,,,
"SO000028",,,,,,,,,,
"SO000029",,,,,,,,,,
"SO000030",,,,,,,,,,
"SO000031",,,,,,,,,,
"SO000032",,,,,,,,,,
